topic;words;themes;category;primitives
346;"['uure' 'vlagge' 'klok' 'uuren' 'tusse' 'maal' 'laat' 'na' 'klokken'
 'kerk' 'begraaven' 'plaas' 'waare' 'desember' 'heb' 'woensdag' 'gehat'
 'smiddags' 'verjaardag' 'toorens' 'geluid' 'tooren' 'maar' 'hooghijd'
 'kraam' 'ge' 'smorgens' 'maande' 'geluijt' 'genaampt' 'tuijs' 'niwe'
 'daan' 'nags' 'maandag' 'ik' 'snags' 'kerken' 'vrinde' 'yaar' 'kaars'
 'savons' 'swaar' 'kindere' 'vreugden' 'moete' 'daags' 'gaan' 'bededag'
 'geheele']";346. Church bells and timekeeping;5;78
347;"['battallion' 'majoor' 'helvoetsluis' 'guarnisoen' 'generaal' 'bestaande'
 'luitenant' 'garnisoen' 'luit' 'compagnien' 'regiment' 'briell'
 'bezetting' 'schotten' 'helvoet' 'fortresse' 'goedereede' 'kommandant'
 'aangekomen' 'collonel' 'uit' 'commando' 'militairen' 'manschappen'
 'militie' 'kruid' 'kapitein' 'garnizoen' 'officieren' 'vertrok'
 'zwitsers' 'commandant' 'tamboers' 'battaillons' 'kolonel' 'naar'
 'regering' 'burgers' 'fransen' 'aankomst' 'gen' 'briel' 'uitgetrokken'
 'haag' 'aldaar' 'dra' 'hollandsche' 'vesting' 'besetting' 'comp']";347. Military units and garrisons;2;77
348;"['janss' 'dirrick' 'claes' 'pietersz' 'kies' 'claesz' 'willemsz'
 'cornelis' 'gerrit' 'besemer' 'dirick' 'jacobsz' 'jansz' 'sonnemans'
 'gerritsz' 'harman' 'dirck' 'cornelisz' 'verwer' 'jacob' 'adriaen'
 'jacop' 'berckel' 'couwenhoven' 'arent' 'thesoriers' 'gerit' 'schagen'
 'burgemeesters' 'orangen' 'joost' 'pieter' 'jan' 'schout' 'heindrik'
 'jasper' 'willem' 'diewelcke' 'cloot' 'cristoffel' 'vroetschap' 'stuver'
 'alias' 'johan' 'secretarius' 'sijmon' 'hugo' 'burgemeester' 'haerlem'
 'egbert']";348. Names and functions in a local community;16;76
349;"['fijke' 'zie' 'oorlog' 'pag' 'reeds' 'echter' 'bijzonder' 'rijp'
 'oorzaak' 'vaderland' 'gezondheid' 'bestaan' 'engeland' 'thans' 'holland'
 'nederland' 'laatste' 'stand' 'staat' 'niets' 'deeze' 'deugd' 'plaatzen'
 'bekend' 'voorzienigheid' 'laat' 'lands' 'waardig' 'gevoeld' 'verraad'
 'voorbeeld' 'toestand' 'aanvang' 'aard' 'jaar' 'vind' 'aangetast' 'welke'
 'maar' 'frankrijk' 'uitkomst' 'waar' 'volken' 'rijken' 'algemeen'
 'maatschappij' 'gemeld' 'aanteekening' 'gesteld' 'enz']";349. Political situation and international relations;8;75
350;"['dezes' 'jaars' 'welke' 'maand' 'ingevolge' 'einde' 'jaar' 'reeds'
 'stand' 'laatste' 'ingezetenen' 'maanden' 'holland' 'aanvang' 'jaaren'
 'gebruik' 'naam' 'jaarlijks' 'ontvangen' 'vervat' 'maart' 'gesteld'
 'zoodanige' 'aanteekeningen' 'zaak' 'verleend' 'derzelver' 'had'
 'belasting' 'echter' 'voorgaande' 'lands' 'deze' 'deeze' 'dato' 'tevens'
 'aan' 'gelegenheid' 'besluit' 'laatst' 'deeses' 'inzonderheid' 'daartoe'
 'vastgesteld' 'staaten' 'thans' 'daarvan' 'inhoud' 'westvriesland'
 'gedaan']";350. Annual administrative and fiscal matters;3;75
351;"['maart' 'maand' 'febr' 'laatste' 'maandag' 'aanstaande' 'waarvan'
 'gedaan' 'jaar' 'naar' 'mei' 'ruim' 'bepaald' 'gevolge' 'daags'
 'leeuwarden' 'raad' 'gravenhage' 'vrijdag' 'uur' 'uit' 'laatst' 'october'
 'daarvan' 'nachtvorst' 'besluit' 'verscheidene' 'paar' 'gemaakt'
 'maanden' 'gelegenheid' 'beide' 'holland' 'marktdag' 'vergadering' 'haag'
 'voorgaande' 'aldaar' 'woensdag' 'waarbij' 'aanvang' 'daartoe' 'plaats'
 'dezes' 'jaars' 'verleden' 'aangekomen' 'tezamen' 'markt' 'afgekondigd']";351. Scheduling of meetings and events;3;74
352;"['mher' 'rudder' 'riddere' 'emanuel' 'della' 'ridder' 'ruddere' 'heere'
 'jo' 'franchois' 'faille' 'voorschepen' 'maistre' 'denijs' 'broucke'
 'charles' 'baron' 'her' 'carpentier' 'bailliu' 'bellem' 'bap' 'joncheer'
 'guilliame' 'sersanders' 'anthone' 'assenede' 'grave' 'louijs' 'ghedeele'
 'etc' 'keure' 'pensionnaris' 'platse' 'maijesteijt' 'wette' 'vlaenderen'
 'hooghe' 'camp' 'jacques' 'philippe' 'raedt' 'casselrije' 'oorlooghe'
 'triest' 'auweghem' 'rechten' 'vlies' 'burghmeester' 'stede']";352. Noble titles and offices;16;73
353;"['societeit' 'bestuurders' 'participanten' 'weduwen' 'reekening' 'aandeel'
 'jaarlijks' 'lidt' 'capitaal' 'boekhouder' 'jaarlijksche' 'contribueeren'
 'inteekening' 'directeuren' 'deese' 'rekening' 'directeurs' 'gelden'
 'artikel' 'fonds' 'obligatien' 'behoeven' 'quitantie' 'penningen'
 'bestaan' 'bequaam' 'jaaren' 'ingevalle' 'betaling' 'ingeschreven'
 'deelnemers' 'zodanige' 'bepaalt' 'egter' 'kunnen' 'somma' 'daartoe'
 'bedieninge' 'besluiten' 'bepaalde' 'classis' 'gedaane' 'weezen'
 'genoegsaam' 'vastgesteld' 'verdeelen' 'zullen' 'voortaan' 'mogte'
 'behoorlijke']";353. Financial aspects of an organization or association;16;73
354;"['alckmaer' 'gheweer' 'stathuys' 'remonstranten' 'predicken' 'souden'
 'ghevangen' 'papisten' 'spangers' 'schoolmeesters' 'ghenaemt' 'sulxs'
 'ghescooten' 'besien' 'predicatie' 'voorschreven' 'alcmaer' 'niemant'
 'ghevraecht' 'etx' 'papen' 'vandaen' 'daerom' 'schepens' 'haer' 'uut'
 'calvinisten' 'predicanten' 'saeck' 'seyden' 'bleeck' 'terstont'
 'burghers' 'diewelcke' 'predicant' 'ygelick' 'seyde' 'dijckgraeff'
 'zesse' 'daert' 'spreecken' 'ghaen' 'hemlien' 'ghuesghezinde' 'dircksen'
 'soude' 'stats' 'preecten' 'dienaers' 'sommighe']";354. Religious and political tensions in Alkmaar;7;73
355;"['bevolking' 'beliep' 'getal' 'verdeeld' 'zielen' 'totaal' 'dogters'
 'weduwen' 'jaaren' 'vermeerderd' 'maanden' 'geslachten' 'ouderdom'
 'volgt' 'bestaan' 'gebooren' 'beloopen' 'cholera' 'geslacht' 'bedroeg'
 'rekenen' 'beloopt' 'twintig' 'bepaeld' 'ieder' 'christelyke' 'welke'
 'jaar' 'bejaarde' 'voorbeeld' 'bedraagt' 'honderd' 'volgens' 'zoonen'
 'kerken' 'inwoners' 'negentig' 'centimen' 'huisgezinnen' 'jonge'
 'toevlugt' 'inwoonders' 'onderhoud' 'iseghem' 'begrepen' 'geboren' 'gene'
 'gemeyntens' 'jongelingen' 'bestond']";355. Population and demographics;9;72
356;"['francies' 'leerlingen' 'pryzen' 'prys' 'behaeld' 'classe' 'geboortig'
 'kunde' 'petrus' 'judocus' 'primus' 'joseph' 'schilder' 'accessit'
 'joannes' 'konst' 'id' 'gebortig' 'geschrift' 'schole' 'gend' 'medaille'
 'academie' 'societeyt' 'konsten' 'toegewezen' 'plechtigheyd' 'bogaert'
 'jacobus' 'josephus' 'antone' 'medecynen' 'louis' 'ignatius' 'behaelt'
 'tweeden' 'guillielmus' 'baptiste' 'concours' 'loose' 'maes' 'franciscus'
 'buck' 'vroed' 'gent' 'prysen' 'clercq' 'moor' 'woonende' 'joachim']";356. Education and performance;16;72
357;"['weeshuijs' 'weeshuis' 'straat' 'arme' 'gasthuijs' 'armen' 'yder' 'plaas'
 'rijke' 'graft' 'gemaakt' 'sodat' 'school' 'hat' 'kerk' 'afgebrooken'
 'klijn' 'jaar' 'gereformeerde' 'daar' 'verschijde' 'worde' 'kindere'
 'geset' 'naast' 'aant' 'aande' 'erven' 'jongens' 'dri' 'genaampt' 'oude'
 'scheepmakers' 'tusse' 'genaamt' 'maar' 'vergroot' 'burgwal' 'hoogstraat'
 'kleijne' 'jonge' 'toe' 'ijder' 'vest' 'besteed' 'roomse' 'swaar'
 'getimmert' 'gestigt' 'kerken']";357. Buildings and infrastructure;5;71
358;"['straet' 'straete' 'korte' 'straetjen' 'brug' 'princenhof' 'poort'
 'kleyne' 'diestersche' 'straetien' 'hoek' 'mannekens' 'brusselsche'
 'vest' 'kleyn' 'thiensche' 'heversche' 'steen' 'geplaets' 'heuvel'
 'byloke' 'nevens' 'genaemd' 'rue' 'augustynen' 'mindebroeders' 'merkt'
 'gemaekt' 'ingang' 'gestaen' 'steenen' 'hoeck' 'wooninge' 'afgebroken'
 'muer' 'light' 'aenbesteed' 'voorby' 'steene' 'langhs' 'dyle' 'breed'
 'poorte' 'woonende' 'leuve' 'predikheeren' 'achter' 'leye' 'langs'
 'veste']";358. Street names;5;71
359;"['mad' 'opcenten' 'verhuurd' 'kosten' 'huur' 'perceel' 'koper'
 'pondematen' 'percelen' 'gehuurd' 'bunder' 'buiten' 'eigen' 'molen'
 'betaald' 'hooi' 'koop' 'modder' 'leppedijk' 'ongeveer' 'koopmans'
 'eigenaar' 'pondemate' 'krijgen' 'geld' 'vroeger' 'stuk' 'gekocht'
 'betaalt' 'pondem' 'eigendom' 'zathe' 'schuur' 'gemaaid' 'gld' 'kleine'
 'huizinge' 'bedraagt' 'verkocht' 'werk' 'guld' 'per' 'gekost' 'zamen'
 'besteed' 'maat' 'daarvoor' 'verhoogd' 'staan' 'bedongen']";359. Real Estate and land;6;70
360;"['janssens' 'dood' 'veroordeeld' 'gevangenis' 'vonnis' 'moord'
 'gevangenisse' 'vermoord' 'veroordeelt' 'schavot' 'gebortig' 'gevonnist'
 'gevang' 'geboren' 'toon' 'henderik' 'verwezen' 'straffe' 'verschynen'
 'doods' 'woonagtig' 'opgehangen' 'gecondemneert' 'galg' 'verklaerde'
 'zynen' 'genaemt' 'zegd' 'leven' 'bekentenisse' 'verklaert' 'koetsier'
 'straf' 'eeuwig' 'klyn' 'geboortig' 'begaen' 'pistool' 'persoon' 'oud'
 'oogen' 'syn' 'ouderdom' 'geleeft' 'crimineele' 'jaeren' 'hoofd'
 'ondergaen' 'jacobus' 'schelm']";360. Crime and conviction;15;69
361;"['penninghen' 'advenant' 'dobbel' 'myten' 'blancken' 'qr' 'xxviij' 'xxx'
 'oirt' 'iij' 'xxiiij' 'nobel' 'xvj' 'xxix' 'viij' 'vierendeel' 'ij'
 'stuvers' 'iiij' 'xl' 'halven' 'gouden' 'stuver' 'xviij' 'xxxv' 'vlaems'
 'gulden' 'iz' 'daelders' 'myte' 'xxv' 'vj' 'penninck' 'xix' 'vij' 'ierst'
 'metter' 'dobbele' 'munten' 'dobbelen' 'xij' 'lxxx' 'croon' 'ganck' 'xv'
 'gelt' 'daelder' 'halve' 'xxiij' 'xiiij']";361. Coins and currency;6;68
362;"['gevrosen' 'bevrosen' 'winter' 'koude' 'menschen' 'kout' 'sneeuw' 'fel'
 'water' 'somer' 'windt' 'sulcken' 'vruchten' 'vriesen' 'mensen' 'beleeft'
 'vroor' 'vorst' 'fellen' 'winden' 'ijs' 'vergaen' 'gewassen' 'geregent'
 'gesmolten' 'honger' 'warmte' 'naght' 'dick' 'mensch' 'veroorsaeckt'
 'gevroren' 'kelders' 'gebreck' 'harden' 'swaer' 'hout' 'kouden' 'hart'
 'geduert' 'boomen' 'continueerde' 'coude' 'noijt' 'stercken' 'kaes' 'ys'
 'haegel' 'sulcke' 'felle']";362. Weather and climate;1;68
363;"['premie' 'zilveren' 'sleed' 'sneek' 'leeuwarden' 'dokkum' 'gouden'
 'aanschouwers' 'aanzienlijke' 'fraai' 'schaatzen' 'aangekondigd' 'paard'
 'onderscheidene' 'zweep' 'leeuwarder' 'gebruik' 'franeker' 'gelegenheid'
 'gebruiken' 'schaatsen' 'horologie' 'harlingen' 'bepaald' 'prijzen'
 'warga' 'aangeboden' 'friesch' 'belooning' 'friesche' 'courant'
 'heerenveen' 'beloofd' 'maandag' 'allerlei' 'luister' 'gebruikt'
 'verscheidene' 'bestuur' 'bekend' 'echter' 'aard' 'thans' 'eigen'
 'couranten' 'baan' 'zuiderzee' 'drachten' 'zak' 'friesland']";363. Skating competition;10;68
364;"['lijk' 'gedregen' 'lijkdienst' 'begraeven' 'kerkhof' 'afgesongen'
 'lijken' 'voorop' 'hetzelve' 'nauwelijcks' 'godtvrugtige' 'pligtigheijd'
 'pligtigen' 'lesende' 'vanuijt' 'bestelt' 'roosencrans' 'naermiddag'
 'eerweerdigsten' 'plichtige' 'graf' 'kruijs' 'volgden' 'pligtige'
 'wordende' 'vervoert' 'verselt' 'bijwesen' 'ommegang' 'wijse' 'vaenen'
 'kleen' 'uijtvoer' 'smedepoorte' 'cathedraele' 'degene' 'alderheijligste'
 'rouw' 'hiervooren' 'omhangen' 'donaes' 'confraters' 'afgelesen'
 'parochiale' 'waerin' 'saeg' 'gevolgentlijk' 'zoodaenig' 'aengestelde'
 'kerkhoven']";364. Funeral and mourning;9;68
365;"['schodtlandt' 'regieren' 'gheregiert' 'regieringhe' 'vranckrijcke'
 'koninck' 'gheseijt' 'sone' 'co' 'baudewijn' 'loijs' 'jaere' 'sijnen'
 'sijns' 'keijser' 'coninck' 'rijck' 'conijnck' 'succederen' 'regierde'
 'duijtslandt' 'saecken' 'succedeerde' 'rijcke' 'sijn' 'oversulcx'
 'carole' 'successie' 'ghestorven' 'traude' 'overleedt' 'bourgoignen'
 'oostenrijck' 'inghelant' 'spanien' 'auderdoms' 'vranckrijck' 'philippus'
 'graefschaep' 'huijsvrauwe' 'margriete' 'guilliame' 'robert' 'autsten'
 'armade' 'verstercken' 'houwelick' 'forestier' 'oorsaecke' 'sijne']";365. Government and succession;8;68
366;"['ghebaut' 'cappelle' 'bauwen' 'clooster' 'maecken' 'gheseit' 'ghevels'
 'aude' 'ghefondeert' 'int' 'ghemaeckt' 'vermaerde' 'ande' 'capucijnen'
 'baudeloo' 'diemen' 'vant' 'werck' 'voorseijde' 'wercken' 'gheseijt'
 'ghebauwt' 'kercke' 'plaetse' 'nicolaijs' 'straetien' 'gheheeten'
 'ghevisiteert' 'meur' 'abdije' 'neffens' 'vlaendren' 'voorseide' 'ende'
 'vande' 'volmaeckt' 'jaere' 'principaelste' 'bourgoignen' 'vanden'
 'gheordonneert' 'hauten' 'ghent' 'vischmarct' 'voorseit' 'muer' 'dico'
 'baudewijn' 'gheweert' 'selve']";366. Religion and monastery;4;68
367;"['schietspel' 'waervoor' 'opgestelt' 'vogels' 'weerdig' 'kroonen'
 'bestaende' 'wisselgelt' 'gilde' 'oppersten' 'gelijcke' 'gilden' 'toer'
 'zilvere' 'consideratie' 'loting' 'afgeschoten' 'vogel' 'getroffen'
 'ider' 'vogelen' 'weerdigh' 'naermiddag' 'silvere' 'prijsen' 'plichtige'
 'schellingen' 'gildens' 'prys' 'vergulde' 'guldens' 'degene' 'behalvens'
 'hetzelve' 'schieten' 'elk' 'prysen' 'voorop' 'zilver' 'pond' 'vereert'
 'drij' 'ses' 'eijndelinge' 'zaeg' 'st' 'laeste' 'betaelen' 'twalf'
 'zoodaenig']";367. Archers' Guild, contest;16;67
368;"['jansz' 'pietersz' 'jacobsz' 'claes' 'claesz' 'cornelis' 'verwer'
 'willemsz' 'janss' 'dirck' 'schagen' 'jacob' 'cornelisz' 'gerrit' 'claas'
 'sonnemans' 'besemer' 'gerret' 'dirrick' 'evert' 'gerritsz' 'heyndrick'
 'couwenhoven' 'brouwer' 'symon' 'sijmon' 'thesoriers' 'harman'
 'vroetschap' 'egbert' 'kies' 'joost' 'smit' 'pieter' 'jacopsen'
 'pietersen' 'dircksen' 'schout' 'jan' 'jansen' 'corn' 'janse' 'hendrik'
 'arent' 'dirk' 'wolf' 'meijde' 'dijckgraeff' 'heindrik' 'harmen']";368. Surnames;16;67
369;"['voisen' 'meerderheyd' 'overdeken' 'gecosen' 'keus' 'borgemeester'
 'natien' 'hoedanigheyd' 'gekosen' 'lints' 'kiesen' 'janssens' 'natie'
 'dekens' 'deken' 'opper' 'rentmeester' 'primarius' 'stadhuys' 'gewesen'
 'welken' 'gezeyt' 'peeters' 'zittinge' 'medecynen' 'stemmen' 'magistraet'
 'meyer' 'advocaet' 'raed' 'verrandert' 'gebortigh' 'caemer'
 'borgemeesters' 'geroepen' 'openstaende' 'souverynen' 'aenstonts'
 'morgent' 'universiteyt' 'brouwer' 'geprotesteert' 'syne' 'mynheer'
 'gebeurt' 'faculteyt' 'gewoonelyken' 'eerwaarde' 'pensionaris' 'beyde']";369. Administration and officials;3;67
370;"['eetwaeren' 'somer' 'dierte' 'abondant' 'winter' 'vruchten' 'menschen'
 'bevrosen' 'schellingen' 'kout' 'graenen' 'gevrosen' 'terwe' 'gewassen'
 'kaes' 'drooge' 'schaers' 'verkocht' 'erten' 'drooghe' 'boonen' 'kost'
 'voorgaende' 'daegen' 'vriesen' 'iae' 'boter' 'sulcken' 'sack' 'graen'
 'meer' 'rogge' 'gebreck' 'advenante' 'vergaen' 'stuyvers' 'waerdoor'
 'eyeren' 'broodt' 'gelycken' 'windt' 'stuijvers' 'voorjaer' 'tarwe'
 'dieren' 'haever' 'haver' 'goldt' 'coren' 'gerste']";370. Food and agricultural products;6;67
371;"['vriezen' 'ijs' 'vroor' 'sterk' 'maar' 'echter' 'begon' 'weinig' 'reeds'
 'toen' 'paard' 'dagelijks' 'waardoor' 'gebruikt' 'mogelijk' 'wijl'
 'vooral' 'dooi' 'plaatsen' 'zagen' 'gaan' 'etmaal' 'thans'
 'schaatsrijden' 'maakte' 'vorst' 'aanvang' 'maakten' 'duurde' 'gehele'
 'geweldig' 'staan' 'naar' 'scheepvaart' 'gebruiken' 'genoodzaakt'
 'schaatzen' 'verscheidene' 'oorzaak' 'deed' 'paarden' 'vaak' 'gevroren'
 'tijd' 'plaatzen' 'enz' 'daardoor' 'hard' 'kon' 'tamelijk']";371. Winter weather and skating;1;67
372;"['lodewyck' 'henegou' 'alve' 'dalve' 'duck' 'vranckryck' 'ducq' 'conincx'
 'volck' 'vuyt' 'vyant' 'tydt' 'graeff' 'tydinghe' 'henegouwe'
 'spaengaerden' 'voetknechten' 'orangien' 'dalbe' 'comen' 'gecomen'
 'knechten' 'berghen' 'slach' 'verslagen' 'nae' 'trock' 'grave' 'oyck'
 'vendelen' 'hertooch' 'mansvelt' 'lueven' 'vranckeryck' 'uut' 'prinche'
 'vyff' 'waelen' 'welck' 'spaengnaerts' 'spaensche' 'vyandt' 'capiteyn'
 'casteel' 'hy' 'walen' 'hertoge' 'inne' 'monss' 'ontsetten']";372. War and battles;8;67
373;"['vlaardingen' 'maassluis' 'jagers' 'enkhuizen' 'maas' 'schiedam'
 'hamburg' 'delfshaven' 'direct' 'zeilen' 'vloot' 'rotterdam' 'bestaande'
 'direkt' 'rijp' 'haring' 'plaatsen' 'jager' 'scheepen' 'oorlogschepen'
 'geloopen' 'uit' 'engelse' 'rivier' 'saamen' 'transport' 'zee' 'holland'
 'jaarlijksche' 'plaatzen' 'naar' 'samen' 'buiten' 'volgende' 'dordrecht'
 'hollandsche' 'bestaan' 'haarlem' 'bestond' 'noord' 'gouda' 'ruiters'
 'texel' 'noorderquartier' 'geladen' 'na' 'kwamen' 'veer' 'trokken' 'gaan']";373. Cities and shipping;6;66
374;"['secretarije' 'regarde' 'geaffigeert' 'ordonnantie' 'notarissen' 'praet'
 'laste' 'boetens' 'effecten' 'geordonneert' 'specien' 'procureur'
 'goederen' 'huijse' 'officie' 'mitsgaeders' 'voors' 'carpentier'
 'ordonnerende' 'meubelen' 'janssens' 'cesseren' 'woonende' 'actien'
 'gevalle' 'voorsz' 'geinterdiceert' 'articul' 'informeren' 'raede' 'ter'
 'sullen' 'ordonneren' 'voldaen' 'acte' 'voldoen' 'renten' 'aengeplakt'
 'ofte' 'eygenaers' 'gedient' 'gene' 'sekeren' 'overstaan' 'detentie'
 'overbrengen' 'lestleden' 'gewoont' 'suppliant' 'decreet']";374. Legal affairs and legislation;3;66
375;"['baudewijn' 'robert' 'gheseijt' 'graefschaep' 'houwelick' 'guilliame'
 'vlaendren' 'vlaenderen' 'regieringhe' 'graef' 'vranckrijcke' 'jonghen'
 'henegauwe' 'arnout' 'philips' 'loijs' 'margriete' 'thierij' 'sone'
 'gravinne' 'autsten' 'sijn' 'gendt' 'grave' 'wedue' 'vries' 'traude'
 'sijnen' 'vrau' 'koninck' 'bourgoignen' 'rijsel' 'guido' 'waes'
 'hendrick' 'landt' 'voorsaeten' 'voorseyden' 'maele' 'hooftschepenen'
 'sijne' 'selve' 'huijsvrauwe' 'dochter' 'vrauw' 'ende' 'jaere' 'brugghe'
 'guij' 'naeme']";375. Nobility and rulers;14;65
376;"['horne' 'sij' 'nogh' 'moghten' 'haer' 'dingen' 'seijden' 'naght'
 'seggende' 'dagh' 'storf' 'langh' 'moghte' 'seijde' 'qualijck'
 'stillekens' 'saeten' 'sette' 'genoegh' 'wegh' 'geusen' 'siende' 'mater'
 'soude' 'smorgens' 'saegen' 'middagh' 'meijnden' 'gevanghen' 'ginck'
 'luijde' 'susteren' 'souden' 'hat' 'sulcke' 'saeck' 'gelijck' 'suster'
 'sigh' 'sagh' 'gebraght' 'paeschen' 'welck' 'ondertussen' 'weert' 'sy'
 'sitten' 'magh' 'kreegh' 'so']";376. upheaval;7;64
377;"['graden' 'thans' 'vooral' 'koude' 'oorzaak' 'echter' 'laatste'
 'dagelijks' 'maand' 'dewijl' 'althans' 'buitengewoon' 'aanzien' 'weinig'
 'gebruik' 'gerekend' 'onderscheidene' 'steeds' 'maar' 'had' 'doorgaans'
 'buitengewone' 'aanmerkelijk' 'vriezen' 'daarvan' 'daardoor' 'zich'
 'duurte' 'vaak' 'warmte' 'bijzonder' 'aard' 'dikwijls' 'aanvang' 'staart'
 'bestendig' 'bezwaarlijk' 'prijzen' 'etmaal' 'tijd' 'bestaan' 'koud'
 'gedurende' 'staan' 'allerlei' 'sterke' 'opvolgende' 'droogte' 'bepaald'
 'stand']";377. Weather and climate;1;64
378;"['zierikzee' 'bekend' 'ingezetenen' 'gelegenheid' 'zeeland' 'ontvangen'
 'regering' 'besluit' 'echter' 'had' 'bestaan' 'einde' 'naar' 'zich'
 'zaak' 'bestond' 'enz' 'uitgegeven' 'intusschen' 'stand' 'verdediging'
 'scheveningen' 'holland' 'eiland' 'naam' 'gezondheid' 'reeds'
 'omwenteling' 'uit' 'gebruik' 'bl' 'sluiten' 'verklaard' 'ondervinding'
 'aangelegenheden' 'eeuw' 'toestand' 'haag' 'zulke' 'bestaande' 'volken'
 'middelburg' 'aanleiding' 'waartoe' 'gemaakt' 'generaal' 'daartoe'
 'geplaatst' 'gevestigd' 'deed']";378. Zierikzee and Zeeland;5;64
379;"['regeerde' 'gecoosen' 'tongeren' 'wirdt' 'soone' 'gekosen' 'stoel'
 'romijn' 'roomen' 'geregeert' 'bisschop' 'luijck' 'jaer' 'paus'
 'lotteringen' 'heijligen' 'joannes' 'vranckryck' 'maenden' 'stephanus'
 'philippus' 'vacant' 'soon' 'vranckrijck' 'oostenryck' 'maximilianus'
 'collegiale' 'stierff' 'synen' 'syn' 'synde' 'maestricht' 'servaes'
 'hertoge' 'anno' 'genoemt' 'bischop' 'romen' 'gefondeert' 'hertogh'
 'kerck' 'clemens' 'abt' 'welcken' 'luyck' 'maendt' 'ryck' 'dagh' 'proost'
 'naem']";379. Religion and bishops;4;62
380;"['stoeger' 'seminaristen' 'seminarist' 'theologanten' 'zeght' 'joie'
 'vounck' 'omnes' 'leeringe' 'hic' 'etiam' 'vraegen' 'professores'
 'noghte' 'gezeyt' 'quod' 'directeurs' 'dater' 'noghtans' 'quia'
 'zeggende' 'sunt' 'vraegt' 'seminarie' 'onderteekenen' 'gaet' 'waerheyd'
 'antwoort' 'refter' 'zelf' 'taefel' 'hoc' 'ecclesia' 'geenen' 'lesse'
 'autem' 'zeggen' 'aenstonts' 'non' 'genoegh' 'bemercken' 'woord' 'quis'
 'lessen' 'kwaed' 'nec' 'verranderinge' 'plat' 'bynaer' 'maekt']";380. Education and seminarians;16;61
381;"['continuerden' 'brusselen' 'reidts' 'gealierde' 'enghelschen'
 'continuerde' 'koninckx' 'maeren' 'vivers' 'enghelsche' 'bequam'
 'cronijke' 'sulckx' 'canten' 'platsen' 'briven' 'troepen' 'enghelant'
 'vijanden' 'maren' 'sauden' 'vranckerijck' 'bagasie' 'verstont' 'waghens'
 'hollantsche' 'legher' 'pruijsen' 'alsoo' 'doort' 'vlanderen' 'toevoer'
 'alles' 'jannuarius' 'leghers' 'belegh' 'wirden' 'allen' 'desember'
 'fransche' 'alnoch' 'ostende' 'pretendent' 'wirt' 'wegh' 'meije'
 'cronijcke' 'veroveren' 'dito' 'sluijsen']";381. Events and messages;8;61
382;"['informeeren' 'raadsheer' 'raad' 'holland' 'commissie' 'overigheid'
 'generaal' 'gecommitteert' 'zaak' 'haag' 'nader' 'advocaat' 'beveelen'
 'aldaar' 'fiscaal' 'informatien' 'regeering' 'deurwaarder' 'zeeland'
 'zaaken' 'haarlem' 'gecommitteerd' 'gorinchem' 'magistraat' 'hage'
 'verzoeken' 'dordrecht' 'naam' 'ed' 'begeeven' 'mog' 'einde' 'deezen'
 'leiden' 'derzelver' 'verzogt' 'regenten' 'stemmende' 'ingezetenen'
 'hoofdofficier' 'gedeputeerden' 'deeze' 'burgers' 'gravenhage' 'alkmaar'
 'aan' 'weezen' 'gelasten' 'mitsgaders' 'deezer']";382. Legal and jurisprudence;3;61
383;"['saam' 'gasthuis' 'paaren' 'hervormde' 'gedoopt' 'kerken' 'getrouwd'
 'zoons' 'stadhuis' 'saamen' 'kerk' 'gereformeerde' 'gebooren' 'jaar'
 'roomsche' 'maanden' 'jaaren' 'zoonen' 'dogters' 'geboren' 'gestorven'
 'zondags' 'roomse' 'oudste' 'dochters' 'meisjes' 'weeshuis' 'walsche'
 'bejaarde' 'gebed' 'naam' 'bededag' 'predikatie' 'mai' 'kinderen' 'kind'
 'wierd' 'school' 'voortaan' 'paar' 'february' 'doopsgezinde' 'ouderdom'
 'jonge' 'yaar' 'huwelijk' 'ouders' 'begraaven' 'gelegenheid' 'genaamd']";383. Family, birth, marriage, death;16;60
384;"['schiedam' 'rotterdam' 'dordregt' 'vernemende' 'ruiters' 'togen' 'delft'
 'quamen' 'lagen' 'schoonhoven' 'leck' 'behielden' 'soldaten' 'gevochten'
 'rotterd' 'roers' 'bleven' 'sloegen' 'gouda' 'getogen' 'gevogten'
 'knegten' 'gequest' 'poorteren' 'beroofden' 'rooff' 'dordrecht' 'dort'
 'stat' 'victalie' 'geslagen' 'liepen' 'verbranden' 'trocken' 'plonderen'
 'waterlant' 'bewaren' 'opset' 'roof' 'waren' 'roven' 'namen' 'brederode'
 'knechten' 'jonkheer' 'korts' 'vaendelen' 'snachs' 'delfshaven' 'leijden']";384. War and Plundering;2;60
385;"['aarde' 'besteld' 'naam' 'bijgewoond' 'vriend' 'heb' 'daar' 'werk' 'waar'
 'maar' 'gesteld' 'gaan' 'zaak' 'had' 'gemaakt' 'begravenis' 'na' 'pen'
 'laatste' 'wereld' 'werd' 'waarop' 'dood' 'lighaam' 'gedaan' 'naast'
 'haar' 'daarna' 'goed' 'staan' 'maakte' 'bewezen' 'kon' 'nooijt' 'haalen'
 'wier' 'stand' 'kerk' 'bekend' 'kwaad' 'lijk' 'aan' 'eigen' 'mogt' 'jaar'
 'laat' 'doopsgezinde' 'naderhand' 'nogthans' 'straat']";385. Funeral and death;9;59
